"Qty";"Value";"Device";"Package";"Parts";"Description";"CREATED_BY";"DIGIKEY_PARTNO";"MANUFACTURER";"MPN";"PACKAGE";"POPULARITY";"PROD_ID";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";"VOLTAGE";
"3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2, LED3";"LED";"";"";"";"";"";"";"";"";"";"";"";
"3";"0";"R-US_R0805";"R0805";"R16, R19, R39";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"12";"0.1u";"1.0UF-0603-16V-10%";"0603";"C5, C6, C8, C10, C12, C17, C18, C19, C22, C23, C24, C25";"1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";
"1";"0.1u";"C-EUC0805";"C0805";"C20";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"C";"";"";"";
"5";"1.0u";"1.0UF-0805-25V-10%";"0805";"C3, C7, C9, C11, C26";"1µF ceramic capacitors";"";"";"";"";"";"";"CAP-08064";"";"";"1.0uF";"";
"2";"1.0uF";"1.0UF-0805-25V-10%";"0805";"C4, C27";"1µF ceramic capacitors";"";"";"";"";"";"";"CAP-08064";"";"";"1.0uF";"";
"1";"100";"R-US_R0805";"R0805";"R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"100u";"CPOLRAD8X12";"CAPPRD350W60D800H1200B";"C2";"Kemet Radial Solid Polymer Aluminum Capacitors";"";"";"";"";"";"";"";"";"";"";"35V";
"1";"10k";"R-US_R0805";"R0805";"R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10n";"C-EUC0805";"C0805";"C21";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"C";"";"";"";
"1";"10u";"1.0UF-0805-25V-(+80/-20%)";"0805";"C13";"1µF ceramic capacitors";"";"";"";"";"";"";"CAP-11625";"";"";"1.0uF";"";
"1";"10u";"MSS1278";"INDM120120X780N";"L3";"SMT Power Inductors";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uH";"COILCRAFT_MSD1260";"COILCRAFT_MSD1260";"L2";"Shielded Coupled Inductors";"";"";"";"";"";"";"";"";"";"";"";
"1";"15V";"ZENER-DIODESOT23";"SOT23";"D5";"Z-Diode";"";"";"";"";"";"3";"";"";"";"";"";
